t_Myr,T_C
0.092821,175.3
0.09366,174.67
0.094507,174.05
0.095361,173.43
0.096223,172.81
0.097093,172.2
0.097971,171.58
0.098856,170.97
0.09975,170.36
0.10065,169.76
0.10156,169.15
0.10248,168.55
0.10341,167.96
0.10434,167.36
0.10528,166.77
0.10624,166.17
0.1072,165.58
0.10817,165
0.10914,164.41
0.11013,163.83
0.11113,163.25
0.11213,162.67
0.11314,162.1
0.11417,161.53
0.1152,160.96
0.11624,160.39
0.11729,159.82
0.11835,159.26
0.11942,158.7
0.1205,158.14
0.12159,157.58
0.12269,157.03
0.1238,156.47
0.12492,155.92
0.12605,155.38
0.12719,154.83
0.12834,154.29
0.1295,153.75
0.13067,153.21
0.13185,152.67
0.13304,152.14
0.13424,151.6
0.13546,151.07
0.13668,150.55
0.13792,150.02
0.13916,149.5
0.14042,148.98
0.14169,148.46
0.14297,147.94
0.14426,147.42
0.14557,146.91
0.14688,146.4
0.14821,145.89
0.14955,145.38
0.1509,144.88
0.15227,144.38
0.15365,143.88
0.15503,143.38
0.15644,142.88
0.15785,142.39
0.15928,141.9
0.16072,141.41
0.16217,140.92
0.16364,140.43
0.16511,139.95
0.16661,139.47
0.16811,138.99
0.16963,138.51
0.17117,138.03
0.17271,137.56
0.17428,137.09
0.17585,136.62
0.17744,136.15
0.17905,135.68
0.18066,135.22
0.1823,134.76
0.18394,134.3
0.18561,133.84
0.18729,133.38
0.18898,132.93
0.19069,132.47
0.19241,132.02
0.19415,131.57
0.19591,131.13
0.19768,130.68
0.19946,130.24
0.20127,129.8
0.20309,129.36
0.20492,128.92
0.20677,128.49
0.20864,128.05
0.21053,127.62
0.21243,127.19
0.21435,126.76
0.21629,126.33
0.21825,125.91
0.22022,125.49
0.22221,125.07
0.22422,124.65
0.22625,124.23
0.22829,123.81
0.23036,123.4
0.23244,122.99
0.23454,122.58
0.23666,122.17
0.2388,121.76
0.24096,121.36
0.24314,120.95
0.24533,120.55
0.24755,120.15
0.24979,119.75
0.25205,119.35
0.25433,118.96
0.25663,118.57
0.25895,118.18
0.26129,117.79
0.26365,117.4
0.26603,117.01
0.26844,116.63
0.27086,116.24
0.27331,115.86
0.27578,115.48
0.27828,115.1
0.28079,114.73
0.28333,114.35
0.28589,113.98
0.28848,113.61
0.29108,113.23
0.29372,112.87
0.29637,112.5
0.29905,112.13
0.30175,111.77
0.30448,111.41
0.30723,111.05
0.31001,110.69
0.31281,110.33
0.31564,109.97
0.3185,109.62
0.32137,109.27
