Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
321.5,89.33,84.8635,93.7965,
322,89.14,84.683,93.597,
322.5,88.95,84.5025,93.3975,
323,88.76,84.322,93.198,
323.5,88.57,84.1415,92.9985,
324,88.38,83.961,92.799,
324.5,88.19,83.7805,92.5995,
325,88,83.6,92.4,
325.5,87.81,83.4195,92.2005,
326,87.62,83.239,92.001,
326.5,87.43,83.0585,91.8015,
327,87.24,82.878,91.602,
327.5,87.05,82.6975,91.4025,
328,86.86,82.517,91.203,
328.5,86.67,82.3365,91.0035,
329,86.48,82.156,90.804,
329.5,86.29,81.9755,90.6045,
330,86.1,81.795,90.405,
330.5,85.91,81.6145,90.2055,
331,85.72,81.434,90.006,
331.5,85.53,81.2535,89.8065,
332,85.34,81.073,89.607,
332.5,85.15,80.8925,89.4075,
333,84.96,80.712,89.208,
333.5,84.77,80.5315,89.0085,
334,84.58,80.351,88.809,
334.5,84.39,80.1705,88.6095,
335,84.2,79.99,88.41,
335.5,84.01,79.8095,88.2105,
336,83.82,79.629,88.011,
336.5,83.63,79.4485,87.8115,
337,83.44,79.268,87.612,
337.5,83.25,79.0875,87.4125,
338,83.06,78.907,87.213,
338.5,82.87,78.7265,87.0135,
339,82.68,78.546,86.814,
339.5,82.49,78.3655,86.6145,
340,82.3,78.185,86.415,
340.5,82.11,78.0045,86.2155,
341,81.92,77.824,86.016,
341.5,81.73,77.6435,85.8165,
342,81.54,77.463,85.617,
342.5,81.35,77.2825,85.4175,
343,81.16,77.102,85.218,
343.5,80.97,76.9215,85.0185,
344,80.78,76.741,84.819,
344.5,80.59,76.5605,84.6195,
345,80.4,76.38,84.42,
345.5,80.21,76.1995,84.2205,
346,80.02,76.019,84.021,
346.5,79.83,75.8385,83.8215,
347,79.64,75.658,83.622,
347.5,79.45,75.4775,83.4225,
348,79.26,75.297,83.223,
348.5,79.07,75.1165,83.0235,
349,78.88,74.936,82.824,
349.5,78.69,74.7555,82.6245,
350,78.5,74.575,82.425,
350.5,78.31,74.3945,82.2255,
351,78.12,74.214,82.026,
351.5,77.93,74.0335,81.8265,
352,77.74,73.853,81.627,
352.5,77.55,73.6725,81.4275,
353,77.36,73.492,81.228,
353.5,77.17,73.3115,81.0285,
354,76.98,73.131,80.829,
354.5,76.79,72.9505,80.6295,
355,76.6,72.77,80.43,
355.5,76.41,72.5895,80.2305,
356,76.22,72.409,80.031,
356.5,76.03,72.2285,79.8315,
357,75.84,72.048,79.632,
357.5,75.65,71.8675,79.4325,
358,75.46,71.687,79.233,
358.5,75.27,71.5065,79.0335,
359,75.08,71.326,78.834,
359.5,74.89,71.1455,78.6345,
360,74.7,70.965,78.435,
360.5,74.51,70.7845,78.2355,
361,74.32,70.604,78.036,
361.5,74.13,70.4235,77.8365,
362,73.94,70.243,77.637,
362.5,73.75,70.0625,77.4375,
363,73.56,69.882,77.238,
363.5,73.37,69.7015,77.0385,
364,73,69.35,76.65,
364.5,73,69.35,76.65,
365,73,69.35,76.65,
365.5,73,69.35,76.65,
366,73,69.35,76.65,
366.5,73,69.35,76.65,
367,73,69.35,76.65,
367.5,73,69.35,76.65,
368,73,69.35,76.65,
368.5,73,69.35,76.65,
369,73,69.35,76.65,
369.5,73,69.35,76.65,
370,73,69.35,76.65,
370.5,73,69.35,76.65,
371,73,69.35,76.65,
371.5,73,69.35,76.65,
372,73,69.35,76.65,
372.5,73,69.35,76.65,
373,73,69.35,76.65,
373.5,73,69.35,76.65,
374,73,69.35,76.65,
374.5,73,69.35,76.65,
375,73,69.35,76.65,
375.5,73,69.35,76.65,
376,73,69.35,76.65,
376.5,73,69.35,76.65,
377,73,69.35,76.65,
377.5,73,69.35,76.65,
378,73,69.35,76.65,
378.5,73,69.35,76.65,
379,73,69.35,76.65,
379.5,73,69.35,76.65,
380,73,69.35,76.65,
380.5,73,69.35,76.65,
381,73,69.35,76.65,
381.5,73,69.35,76.65,
382,73,69.35,76.65,
382.5,73,69.35,76.65,
383,73,69.35,76.65,
383.5,73,69.35,76.65,
